Ref,Val,Package,PosX,PosY,Rot,Side
"D121","RED","LED_0603_1608Metric",195.000000,-109.000000,90.000000,top
"D122","RED","LED_0603_1608Metric",174.000000,-106.000000,90.000000,top
"D123","RED","LED_0603_1608Metric",177.000000,-106.000000,90.000000,top
"D124","RED","LED_0603_1608Metric",180.000000,-106.000000,90.000000,top
"D125","RED","LED_0603_1608Metric",183.000000,-106.000000,90.000000,top
"D126","RED","LED_0603_1608Metric",186.000000,-106.000000,90.000000,top
"D127","RED","LED_0603_1608Metric",189.000000,-106.000000,90.000000,top
"D128","RED","LED_0603_1608Metric",192.000000,-106.000000,90.000000,top
"D129","RED","LED_0603_1608Metric",195.000000,-106.000000,90.000000,top
"D130","RED","LED_0603_1608Metric",198.000000,-115.000000,90.000000,top
"D131","RED","LED_0603_1608Metric",201.000000,-115.000000,90.000000,top
"D132","RED","LED_0603_1608Metric",204.000000,-115.000000,90.000000,top
"D133","RED","LED_0603_1608Metric",207.000000,-115.000000,90.000000,top
"D134","RED","LED_0603_1608Metric",210.000000,-115.000000,90.000000,top
"D135","RED","LED_0603_1608Metric",213.000000,-115.000000,90.000000,top
"D136","RED","LED_0603_1608Metric",216.000000,-115.000000,90.000000,top
"D137","RED","LED_0603_1608Metric",219.000000,-115.000000,90.000000,top
"D138","RED","LED_0603_1608Metric",198.000000,-121.000000,90.000000,top
"D139","RED","LED_0603_1608Metric",201.000000,-121.000000,90.000000,top
"D140","RED","LED_0603_1608Metric",204.000000,-121.000000,90.000000,top
"D141","RED","LED_0603_1608Metric",207.000000,-121.000000,90.000000,top
"D142","RED","LED_0603_1608Metric",210.000000,-121.000000,90.000000,top
"D143","RED","LED_0603_1608Metric",213.000000,-121.000000,90.000000,top
"D144","RED","LED_0603_1608Metric",216.000000,-121.000000,90.000000,top
"D145","RED","LED_0603_1608Metric",219.000000,-121.000000,90.000000,top
"D146","RED","LED_0603_1608Metric",198.000000,-118.000000,90.000000,top
"D147","RED","LED_0603_1608Metric",201.000000,-118.000000,90.000000,top
"D148","RED","LED_0603_1608Metric",204.000000,-118.000000,90.000000,top
"D149","RED","LED_0603_1608Metric",207.000000,-118.000000,90.000000,top
"D150","RED","LED_0603_1608Metric",210.000000,-118.000000,90.000000,top
"D151","RED","LED_0603_1608Metric",213.000000,-118.000000,90.000000,top
"D152","RED","LED_0603_1608Metric",216.000000,-118.000000,90.000000,top
"D153","RED","LED_0603_1608Metric",219.000000,-118.000000,90.000000,top
"D154","RED","LED_0603_1608Metric",198.000000,-100.000000,90.000000,top
"D155","RED","LED_0603_1608Metric",201.000000,-100.000000,90.000000,top
"D156","RED","LED_0603_1608Metric",204.000000,-100.000000,90.000000,top
"D157","RED","LED_0603_1608Metric",207.000000,-100.000000,90.000000,top
"D158","RED","LED_0603_1608Metric",210.000000,-100.000000,90.000000,top
"D159","RED","LED_0603_1608Metric",213.000000,-100.000000,90.000000,top
"D160","RED","LED_0603_1608Metric",216.000000,-100.000000,90.000000,top
"D161","RED","LED_0603_1608Metric",219.000000,-100.000000,90.000000,top
"D162","RED","LED_0603_1608Metric",198.000000,-103.000000,90.000000,top
"D163","RED","LED_0603_1608Metric",201.000000,-103.000000,90.000000,top
"D164","RED","LED_0603_1608Metric",204.000000,-103.000000,90.000000,top
"D165","RED","LED_0603_1608Metric",207.000000,-103.000000,90.000000,top
"D166","RED","LED_0603_1608Metric",210.000000,-103.000000,90.000000,top
"D167","RED","LED_0603_1608Metric",213.000000,-103.000000,90.000000,top
"D168","RED","LED_0603_1608Metric",216.000000,-103.000000,90.000000,top
"D169","RED","LED_0603_1608Metric",219.000000,-103.000000,90.000000,top
"D170","RED","LED_0603_1608Metric",198.000000,-112.000000,90.000000,top
"D171","RED","LED_0603_1608Metric",201.000000,-112.000000,90.000000,top
"D172","RED","LED_0603_1608Metric",204.000000,-112.000000,90.000000,top
"D173","RED","LED_0603_1608Metric",207.000000,-112.000000,90.000000,top
"D174","RED","LED_0603_1608Metric",210.000000,-112.000000,90.000000,top
"D175","RED","LED_0603_1608Metric",213.000000,-112.000000,90.000000,top
"D176","RED","LED_0603_1608Metric",216.000000,-112.000000,90.000000,top
"D177","RED","LED_0603_1608Metric",219.000000,-112.000000,90.000000,top
"D178","RED","LED_0603_1608Metric",174.000000,-139.000000,90.000000,top
"D179","RED","LED_0603_1608Metric",177.000000,-139.000000,90.000000,top
"D180","RED","LED_0603_1608Metric",180.000000,-139.000000,90.000000,top
"D181","RED","LED_0603_1608Metric",183.000000,-139.000000,90.000000,top
"D182","RED","LED_0603_1608Metric",186.000000,-139.000000,90.000000,top
"D183","RED","LED_0603_1608Metric",189.000000,-139.000000,90.000000,top
"D184","RED","LED_0603_1608Metric",192.000000,-139.000000,90.000000,top
"D185","RED","LED_0603_1608Metric",195.000000,-139.000000,90.000000,top
"D186","RED","LED_0603_1608Metric",174.000000,-145.000000,90.000000,top
"D187","RED","LED_0603_1608Metric",177.000000,-145.000000,90.000000,top
"D188","RED","LED_0603_1608Metric",180.000000,-145.000000,90.000000,top
"D189","RED","LED_0603_1608Metric",183.000000,-145.000000,90.000000,top
"D190","RED","LED_0603_1608Metric",186.000000,-145.000000,90.000000,top
"D191","RED","LED_0603_1608Metric",189.000000,-145.000000,90.000000,top
"D192","RED","LED_0603_1608Metric",192.000000,-145.000000,90.000000,top
"D193","RED","LED_0603_1608Metric",195.000000,-145.000000,90.000000,top
"D194","RED","LED_0603_1608Metric",174.000000,-142.000000,90.000000,top
"D195","RED","LED_0603_1608Metric",177.000000,-142.000000,90.000000,top
"D196","RED","LED_0603_1608Metric",180.000000,-142.000000,90.000000,top
"D197","RED","LED_0603_1608Metric",183.000000,-142.000000,90.000000,top
"D198","RED","LED_0603_1608Metric",186.000000,-142.000000,90.000000,top
"D199","RED","LED_0603_1608Metric",189.000000,-142.000000,90.000000,top
"D200","RED","LED_0603_1608Metric",192.000000,-142.000000,90.000000,top
"D201","RED","LED_0603_1608Metric",195.000000,-142.000000,90.000000,top
"D202","RED","LED_0603_1608Metric",174.000000,-124.000000,90.000000,top
"D203","RED","LED_0603_1608Metric",177.000000,-124.000000,90.000000,top
"D204","RED","LED_0603_1608Metric",180.000000,-124.000000,90.000000,top
"D205","RED","LED_0603_1608Metric",183.000000,-124.000000,90.000000,top
"D206","RED","LED_0603_1608Metric",186.000000,-124.000000,90.000000,top
"D207","RED","LED_0603_1608Metric",189.000000,-124.000000,90.000000,top
"D208","RED","LED_0603_1608Metric",192.000000,-124.000000,90.000000,top
"D209","RED","LED_0603_1608Metric",195.000000,-124.000000,90.000000,top
"D210","RED","LED_0603_1608Metric",174.000000,-127.000000,90.000000,top
"D211","RED","LED_0603_1608Metric",177.000000,-127.000000,90.000000,top
"D212","RED","LED_0603_1608Metric",180.000000,-127.000000,90.000000,top
"D213","RED","LED_0603_1608Metric",183.000000,-127.000000,90.000000,top
"D214","RED","LED_0603_1608Metric",186.000000,-127.000000,90.000000,top
"D215","RED","LED_0603_1608Metric",189.000000,-127.000000,90.000000,top
"D216","RED","LED_0603_1608Metric",192.000000,-127.000000,90.000000,top
"D217","RED","LED_0603_1608Metric",195.000000,-127.000000,90.000000,top
"D218","RED","LED_0603_1608Metric",198.000000,-109.000000,90.000000,top
"D219","RED","LED_0603_1608Metric",201.000000,-109.000000,90.000000,top
"D220","RED","LED_0603_1608Metric",204.000000,-109.000000,90.000000,top
"D221","RED","LED_0603_1608Metric",207.000000,-109.000000,90.000000,top
"D222","RED","LED_0603_1608Metric",210.000000,-109.000000,90.000000,top
"D223","RED","LED_0603_1608Metric",213.000000,-109.000000,90.000000,top
"D224","RED","LED_0603_1608Metric",216.000000,-109.000000,90.000000,top
"D225","RED","LED_0603_1608Metric",219.000000,-109.000000,90.000000,top
"D226","RED","LED_0603_1608Metric",198.000000,-106.000000,90.000000,top
"D227","RED","LED_0603_1608Metric",201.000000,-106.000000,90.000000,top
"D228","RED","LED_0603_1608Metric",204.000000,-106.000000,90.000000,top
"D229","RED","LED_0603_1608Metric",207.000000,-106.000000,90.000000,top
"D230","RED","LED_0603_1608Metric",210.000000,-106.000000,90.000000,top
"D231","RED","LED_0603_1608Metric",213.000000,-106.000000,90.000000,top
"D232","RED","LED_0603_1608Metric",216.000000,-106.000000,90.000000,top
"D233","RED","LED_0603_1608Metric",219.000000,-106.000000,90.000000,top
"D234","RED","LED_0603_1608Metric",174.000000,-136.000000,90.000000,top
"D235","RED","LED_0603_1608Metric",177.000000,-136.000000,90.000000,top
"D236","RED","LED_0603_1608Metric",180.000000,-136.000000,90.000000,top
"D237","RED","LED_0603_1608Metric",183.000000,-136.000000,90.000000,top
"D238","RED","LED_0603_1608Metric",186.000000,-136.000000,90.000000,top
"D239","RED","LED_0603_1608Metric",189.000000,-136.000000,90.000000,top
"D240","RED","LED_0603_1608Metric",192.000000,-136.000000,90.000000,top
"D241","RED","LED_0603_1608Metric",195.000000,-136.000000,90.000000,top
"D242","RED","LED_0603_1608Metric",174.000000,-133.000000,90.000000,top
"D243","RED","LED_0603_1608Metric",177.000000,-133.000000,90.000000,top
"D244","RED","LED_0603_1608Metric",180.000000,-133.000000,90.000000,top
"D245","RED","LED_0603_1608Metric",183.000000,-133.000000,90.000000,top
"D246","RED","LED_0603_1608Metric",186.000000,-133.000000,90.000000,top
"D247","RED","LED_0603_1608Metric",189.000000,-133.000000,90.000000,top
"D248","RED","LED_0603_1608Metric",192.000000,-133.000000,90.000000,top
"D249","RED","LED_0603_1608Metric",195.000000,-133.000000,90.000000,top
"D250","RED","LED_0603_1608Metric",174.000000,-130.000000,90.000000,top
"D251","RED","LED_0603_1608Metric",177.000000,-130.000000,90.000000,top
"D252","RED","LED_0603_1608Metric",180.000000,-130.000000,90.000000,top
"D253","RED","LED_0603_1608Metric",183.000000,-130.000000,90.000000,top
"D254","RED","LED_0603_1608Metric",186.000000,-130.000000,90.000000,top
"D255","RED","LED_0603_1608Metric",189.000000,-130.000000,90.000000,top
"D256","RED","LED_0603_1608Metric",192.000000,-130.000000,90.000000,top
"D257","RED","LED_0603_1608Metric",195.000000,-130.000000,90.000000,top
"D258","RED","LED_0603_1608Metric",150.000000,-139.000000,90.000000,top
"D259","RED","LED_0603_1608Metric",153.000000,-139.000000,90.000000,top
"D260","RED","LED_0603_1608Metric",156.000000,-139.000000,90.000000,top
"D261","RED","LED_0603_1608Metric",159.000000,-139.000000,90.000000,top
"D262","RED","LED_0603_1608Metric",162.000000,-139.000000,90.000000,top
"D263","RED","LED_0603_1608Metric",165.000000,-139.000000,90.000000,top
"D264","RED","LED_0603_1608Metric",168.000000,-139.000000,90.000000,top
"D265","RED","LED_0603_1608Metric",171.000000,-139.000000,90.000000,top
"D266","RED","LED_0603_1608Metric",150.000000,-145.000000,90.000000,top
"D267","RED","LED_0603_1608Metric",153.000000,-145.000000,90.000000,top
"D268","RED","LED_0603_1608Metric",156.000000,-145.000000,90.000000,top
"D269","RED","LED_0603_1608Metric",159.000000,-145.000000,90.000000,top
"D270","RED","LED_0603_1608Metric",162.000000,-145.000000,90.000000,top
"D271","RED","LED_0603_1608Metric",165.000000,-145.000000,90.000000,top
"D272","RED","LED_0603_1608Metric",168.000000,-145.000000,90.000000,top
"D273","RED","LED_0603_1608Metric",171.000000,-145.000000,90.000000,top
"D274","RED","LED_0603_1608Metric",222.000000,-115.000000,90.000000,top
"D275","RED","LED_0603_1608Metric",225.000000,-115.000000,90.000000,top
"D276","RED","LED_0603_1608Metric",228.000000,-115.000000,90.000000,top
"D277","RED","LED_0603_1608Metric",231.000000,-115.000000,90.000000,top
"D278","RED","LED_0603_1608Metric",234.000000,-115.000000,90.000000,top
"D279","RED","LED_0603_1608Metric",237.000000,-115.000000,90.000000,top
"D280","RED","LED_0603_1608Metric",240.000000,-115.000000,90.000000,top
"D281","RED","LED_0603_1608Metric",243.000000,-115.000000,90.000000,top
"D282","RED","LED_0603_1608Metric",222.000000,-121.000000,90.000000,top
"D283","RED","LED_0603_1608Metric",225.000000,-121.000000,90.000000,top
"D284","RED","LED_0603_1608Metric",228.000000,-121.000000,90.000000,top
"D285","RED","LED_0603_1608Metric",231.000000,-121.000000,90.000000,top
