Designator,Mid X,Mid Y,Rotation,Layer
D610,150.0,-151.0,90.0,top
D611,153.0,-151.0,90.0,top
D612,156.0,-151.0,90.0,top
D613,159.0,-151.0,90.0,top
D614,162.0,-151.0,90.0,top
D615,165.0,-151.0,90.0,top
D616,168.0,-151.0,90.0,top
D617,171.0,-151.0,90.0,top
D618,150.0,-160.0,90.0,top
D619,153.0,-160.0,90.0,top
D62,162.0,-106.0,90.0,top
D620,156.0,-160.0,90.0,top
D621,159.0,-160.0,90.0,top
D622,162.0,-160.0,90.0,top
D623,165.0,-160.0,90.0,top
D624,168.0,-160.0,90.0,top
D625,171.0,-160.0,90.0,top
D626,150.0,-157.0,90.0,top
D627,153.0,-157.0,90.0,top
D628,156.0,-157.0,90.0,top
D629,159.0,-157.0,90.0,top
D63,165.0,-106.0,90.0,top
D630,162.0,-157.0,90.0,top
D631,165.0,-157.0,90.0,top
D632,168.0,-157.0,90.0,top
D633,171.0,-157.0,90.0,top
D634,150.0,-154.0,90.0,top
D635,153.0,-154.0,90.0,top
D636,156.0,-154.0,90.0,top
D637,159.0,-154.0,90.0,top
D638,162.0,-154.0,90.0,top
D639,165.0,-154.0,90.0,top
D64,168.0,-106.0,90.0,top
D640,168.0,-154.0,90.0,top
D641,171.0,-154.0,90.0,top
D642,198.0,-163.0,90.0,top
D643,201.0,-163.0,90.0,top
D644,204.0,-163.0,90.0,top
D645,207.0,-163.0,90.0,top
D646,210.0,-163.0,90.0,top
D647,213.0,-163.0,90.0,top
D648,216.0,-163.0,90.0,top
D649,219.0,-163.0,90.0,top
D65,171.0,-106.0,90.0,top
D650,198.0,-169.0,90.0,top
D651,201.0,-169.0,90.0,top
D652,204.0,-169.0,90.0,top
D653,207.0,-169.0,90.0,top
D654,210.0,-169.0,90.0,top
D655,213.0,-169.0,90.0,top
D656,216.0,-169.0,90.0,top
D657,219.0,-169.0,90.0,top
D658,198.0,-166.0,90.0,top
D659,201.0,-166.0,90.0,top
D66,174.0,-115.0,90.0,top
D660,204.0,-166.0,90.0,top
D661,207.0,-166.0,90.0,top
D662,210.0,-166.0,90.0,top
D663,213.0,-166.0,90.0,top
D664,216.0,-166.0,90.0,top
D665,219.0,-166.0,90.0,top
D666,198.0,-148.0,90.0,top
D667,201.0,-148.0,90.0,top
D668,204.0,-148.0,90.0,top
D669,207.0,-148.0,90.0,top
D67,177.0,-115.0,90.0,top
D670,210.0,-148.0,90.0,top
D671,213.0,-148.0,90.0,top
D672,216.0,-148.0,90.0,top
D673,219.0,-148.0,90.0,top
D674,198.0,-151.0,90.0,top
D675,201.0,-151.0,90.0,top
D676,204.0,-151.0,90.0,top
D677,207.0,-151.0,90.0,top
D678,210.0,-151.0,90.0,top
D679,213.0,-151.0,90.0,top
D68,180.0,-115.0,90.0,top
D680,216.0,-151.0,90.0,top
D681,219.0,-151.0,90.0,top
D682,198.0,-160.0,90.0,top
D683,201.0,-160.0,90.0,top
D684,204.0,-160.0,90.0,top
D685,207.0,-160.0,90.0,top
D686,210.0,-160.0,90.0,top
D687,213.0,-160.0,90.0,top
D688,216.0,-160.0,90.0,top
D689,219.0,-160.0,90.0,top
D69,183.0,-115.0,90.0,top
D690,198.0,-157.0,90.0,top
D691,201.0,-157.0,90.0,top
D692,204.0,-157.0,90.0,top
D693,207.0,-157.0,90.0,top
D694,210.0,-157.0,90.0,top
D695,213.0,-157.0,90.0,top
D696,216.0,-157.0,90.0,top
D697,219.0,-157.0,90.0,top
D698,198.0,-154.0,90.0,top
D699,201.0,-154.0,90.0,top
D7,165.0,-115.0,90.0,top
D70,186.0,-115.0,90.0,top
D700,204.0,-154.0,90.0,top
D701,207.0,-154.0,90.0,top
D702,210.0,-154.0,90.0,top
D703,213.0,-154.0,90.0,top
D704,216.0,-154.0,90.0,top
D705,219.0,-154.0,90.0,top
D706,222.0,-163.0,90.0,top
D707,225.0,-163.0,90.0,top
D708,228.0,-163.0,90.0,top
D709,231.0,-163.0,90.0,top
D71,189.0,-115.0,90.0,top
D710,234.0,-163.0,90.0,top
D711,237.0,-163.0,90.0,top
D712,240.0,-163.0,90.0,top
D713,243.0,-163.0,90.0,top
D714,222.0,-169.0,90.0,top
D715,225.0,-169.0,90.0,top
D716,228.0,-169.0,90.0,top
D717,231.0,-169.0,90.0,top
D718,234.0,-169.0,90.0,top
D719,237.0,-169.0,90.0,top
D72,192.0,-115.0,90.0,top
D720,240.0,-169.0,90.0,top
D721,243.0,-169.0,90.0,top
D722,222.0,-166.0,90.0,top
D723,225.0,-166.0,90.0,top
D724,228.0,-166.0,90.0,top
D725,231.0,-166.0,90.0,top
D726,234.0,-166.0,90.0,top
D727,237.0,-166.0,90.0,top
D728,240.0,-166.0,90.0,top
D729,243.0,-166.0,90.0,top
D73,195.0,-115.0,90.0,top
D730,222.0,-148.0,90.0,top
D731,225.0,-148.0,90.0,top
D732,228.0,-148.0,90.0,top
D733,231.0,-148.0,90.0,top
D734,234.0,-148.0,90.0,top
D735,237.0,-148.0,90.0,top
D736,240.0,-148.0,90.0,top
D737,243.0,-148.0,90.0,top
D738,222.0,-151.0,90.0,top
